RefDes;Name;PartNumber;PartNumberRU;Value;TU GOST;PartDocument;Manufacturer;Unplaced;Case;TCx;PowerRating;Voltage;ReplacementPN;SpecSection;BomNote;Tolerance
C172;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C173;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C174;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C175;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C176;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C177;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C178;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C179;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C180;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C181;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C182;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C183;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C184;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C185;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C186;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet; ;0402;X7R; ; ; ;Прочие изделия; ;5
C187;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C188;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C189;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C190;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C191;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
C192;Чип конденсатор;C0402C104J4RAC; ;0,1 мк; ; ;Kemet;*;0402;X7R; ; ; ;Прочие изделия; ;5
