       Variants report for Z:\PRJ\SEZ\MKm-3\PCB\MKm-3\MKm-3\PCB\MKm-3.pcb
       ==================================================================
Variant group: (Default)

Date : 19.09.2016 15:42:13

+---------+--------------------------+-----+-----+
| Ref Des | Part Number              | 01  | 02  |
| R33     | CRCW04020000Z0ED         |     |     |
| R34     | CRCW040210K0JKED         |     |     |
| R35     | CRCW04020000Z0ED         | DNP | DNP |
| R36     | CRCW040210K0JKED         |     |     |
| R37     | CRCW04020000Z0ED         | DNP | DNP |
| R38     | CRCW040210K0JKED         |     |     |
| R39     | CRCW040210K0JKED         |     |     |
| R40     | CRCW04022K00FKED         |     |     |
| R41     | CRCW040210K0JKED         |     |     |
| R42     | CRCW040210K0JKED         | DNP | DNP |
| R43     | CRCW040210K0JKED         | DNP | DNP |
| R44     | CRCW060375R0FKED         |     |     |
| R45     | CRCW060375R0FKED         |     |     |
| R46     | CRCW0402330RJKED         |     |     |
| R47     | CRCW0402330RJKED         |     |     |
| R48     | CRCW0402330RJKED         |     |     |
| R49     | CRCW0402330RJKED         |     |     |
| R50     | CRCW0402330RJKED         |     |     |
| R51     | CRCW0402330RJKED         |     |     |
| R52     | CRCW0402330RJKED         |     |     |
| R53     | CRCW0402330RJKED         |     |     |
| R54     | CRCW060375R0FKED         |     |     |
| R55     | CRCW060375R0FKED         |     |     |
| R56     | CRCW060375R0FKED         |     |     |
| R57     | CRCW060375R0FKED         |     |     |
| R58     | CRCW060375R0FKED         |     |     |
| R59     | CRCW060375R0FKED         |     |     |
| R60     | CRCW1206510KJKED         |     |     |
| R61     | CRCW1206510KJKED         |     |     |
| R62     | CRCW040249R9FKED         |     |     |
| R63     | CRCW040249R9FKED         |     |     |
| R64     | CRCW040249R9FKED         |     |     |
| R65     | CRCW040249R9FKED         |     |     |
| R66     | CRCW040249R9FKED         |     |     |
| R67     | CRCW040249R9FKED         |     |     |
| R68     | CRCW040249R9FKED         |     |     |
| R69     | CRCW040249R9FKED         |     |     |
| R70     | CRCW040249R9FKED         |     |     |
| R71     | CRCW040249R9FKED         |     |     |
| R72     | CRCW040249R9FKED         |     |     |
| R73     | CRCW040249R9FKED         |     |     |
| R74     | CRCW040249R9FKED         |     |     |
| R75     | CRCW040249R9FKED         |     |     |
| R76     | CRCW040249R9FKED         |     |     |
| R77     | CRCW040249R9FKED         |     |     |
| R78     | CRCW040249R9FKED         |     |     |
| R79     | CRCW040249R9FKED         |     |     |
| R80     | CRCW040249R9FKED         |     |     |
| R81     | CRCW040249R9FKED         |     |     |
| R82     | CRCW040249R9FKED         |     |     |
| R83     | CRCW040249R9FKED         |     |     |
